manure-management-test,unfccc_annex_1_category,5.C.1.b.ii.6  Other
manure-management-test,data_version,0.0
manure-management-test,data_version_changelog,"initial commit, first round of data"
manure-management-test,reporting_timestamp,2022-04-18T21:40:04.124658
domestic-aviation-test,unfccc_annex_1_category,5.C.1.b.ii.6  Other
domestic-aviation-test,data_version,0.0
domestic-aviation-test,data_version_changelog,"initial commit, first round of data"
domestic-aviation-test,reporting_timestamp,2022-04-18T21:40:04.124658
enteric-fermentation-test,unfccc_annex_1_category,5.C.1.b.ii.6  Other
enteric-fermentation-test,data_version,0.0
enteric-fermentation-test,data_version_changelog,"initial commit, first round of data"
enteric-fermentation-test,reporting_timestamp,2022-04-18T21:40:04.124658
forest-fires-test,unfccc_annex_1_category,5.C.1.b.ii.6  Other
forest-fires-test,data_version,0.0
forest-fires-test,data_version_changelog,"initial commit, first round of data"
forest-fires-test,reporting_timestamp,2022-04-18T21:40:04.124658
railways-test,unfccc_annex_1_category,5.C.1.b.ii.6  Other
railways-test,data_version,0.0
railways-test,data_version_changelog,"initial commit, first round of data"
railways-test,reporting_timestamp,2022-04-18T21:40:04.124658
wastewater-treatment-and-discharge-test,unfccc_annex_1_category,5.C.1.b.ii.6  Other
wastewater-treatment-and-discharge-test,data_version,0.0
wastewater-treatment-and-discharge-test,data_version_changelog,"initial commit, first round of data"
wastewater-treatment-and-discharge-test,reporting_timestamp,2022-04-18T21:40:04.124658
synthetic-fertilizer-application-test,unfccc_annex_1_category,5.C.1.b.ii.6  Other
synthetic-fertilizer-application-test,data_version,0.0
synthetic-fertilizer-application-test,data_version_changelog,"initial commit, first round of data"
synthetic-fertilizer-application-test,reporting_timestamp,2022-04-18T21:40:04.124658
other-fossil-fuel-operations-test,unfccc_annex_1_category,5.C.1.b.ii.6  Other
other-fossil-fuel-operations-test,data_version,0.0
other-fossil-fuel-operations-test,data_version_changelog,"initial commit, first round of data"
other-fossil-fuel-operations-test,reporting_timestamp,2022-04-18T21:40:04.124658
residential-and-commercial-onsite-fuel-usage-test,unfccc_annex_1_category,5.C.1.b.ii.6  Other
residential-and-commercial-onsite-fuel-usage-test,data_version,0.0
residential-and-commercial-onsite-fuel-usage-test,data_version_changelog,"initial commit, first round of data"
residential-and-commercial-onsite-fuel-usage-test,reporting_timestamp,2022-04-18T21:40:04.124658
other-manufacturing-test,unfccc_annex_1_category,5.C.1.b.ii.6  Other
other-manufacturing-test,data_version,0.0
other-manufacturing-test,data_version_changelog,"initial commit, first round of data"
other-manufacturing-test,reporting_timestamp,2022-04-18T21:40:04.124658
other-mineral-extraction-test,unfccc_annex_1_category,5.C.1.b.ii.6  Other
other-mineral-extraction-test,data_version,0.0
other-mineral-extraction-test,data_version_changelog,"initial commit, first round of data"
other-mineral-extraction-test,reporting_timestamp,2022-04-18T21:40:04.124658
biological-treatment-of-solid-waste-&-biogenic-test,unfccc_annex_1_category,5.C.1.b.ii.6  Other
biological-treatment-of-solid-waste-&-biogenic-test,data_version,0.0
biological-treatment-of-solid-waste-&-biogenic-test,data_version_changelog,"initial commit, first round of data"
biological-treatment-of-solid-waste-&-biogenic-test,reporting_timestamp,2022-04-18T21:40:04.124658
copper-mining-test,unfccc_annex_1_category,5.C.1.b.ii.6  Other
copper-mining-test,data_version,0.0
copper-mining-test,data_version_changelog,"initial commit, first round of data"
copper-mining-test,reporting_timestamp,2022-04-18T21:40:04.124658
steel-test,unfccc_annex_1_category,5.C.1.b.ii.6  Other
steel-test,data_version,0.0
steel-test,data_version_changelog,"initial commit, first round of data"
steel-test,reporting_timestamp,2022-04-18T21:40:04.124658
forest-clearing-test,unfccc_annex_1_category,5.C.1.b.ii.6  Other
forest-clearing-test,data_version,0.0
forest-clearing-test,data_version_changelog,"initial commit, first round of data"
forest-clearing-test,reporting_timestamp,2022-04-18T21:40:04.124658
cement-test,unfccc_annex_1_category,5.C.1.b.ii.6  Other
cement-test,data_version,0.0
cement-test,data_version_changelog,"initial commit, first round of data"
cement-test,reporting_timestamp,2022-04-18T21:40:04.124658
oil-and-gas-production-and-transport-test,unfccc_annex_1_category,5.C.1.b.ii.6  Other
oil-and-gas-production-and-transport-test,data_version,0.0
oil-and-gas-production-and-transport-test,data_version_changelog,"initial commit, first round of data"
oil-and-gas-production-and-transport-test,reporting_timestamp,2022-04-18T21:40:04.124658
